property_type,location,price,features,neighourhood,bedroom,bathroom,toilet,parking_lot
Luxury Serviced 3 Bedroom Flat,Lekki,1700000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Igbo Efon,3,3,4,3
Brand New 2 Bedroom Flat,IbejuLekki,700000,2 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save, Oribanwa,2,3,3,2
Brand New 3 Bedeoom Flat,IbejuLekki,500000,3 Bedrooms4 Bathrooms4 Toilets2 Parking Spaces Save, Ibeju Lekki,3,4,4,2
Luxury And Spacious Room And Parlour Self Contain,Ajah,700000,1 Bedroom2 Bathrooms2 Toilets2 Parking Spaces Save, Sangotedo,1,2,2,2
Luxurious Newly Built 2 Bedroom Flat Upstairs,Lekki,1400000,2 Bedrooms2 Bathrooms3 Toilets8 Parking Spaces Save, Lekki,2,2,3,8
Luxe 3 Bedroom Apartment,Victoria Island (VI),4000000,3 Bedrooms3 Bathrooms3 Toilets Save, Victoria Island (VI),3,3,3,
Grandiose 2 Bedroom Pent-floor Apartment With Excellent Facilities,Ikoyi,10500000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Banana Island,2,2,3,2
Renovated And Service 3 Bedroom Flat,Victoria Island (VI),4000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Victoria Island (VI),3,3,4,2
Spacious Room And Parlour Self Contained,IbejuLekki,270000,1 Bedroom1 Bathroom1 Toilet2 Parking Spaces Save, Lakowe,1,1,1,2
Renovated Spacious Mini Flat With Pop ( Upstairs),Yaba,800000,1 Bedroom1 Bathroom2 Toilets Save, Lagos.,1,1,2,
Upscale 2 Bedroom Apartment,Ikoyi,8000000,2 Bedrooms2 Bathrooms3 Toilets Save, Ikoyi,2,2,3,
3 Bedroom Apartment,Ikoyi,6500000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
A Lovely And Nice Well Finished 2 Bedroom Flat,Yaba,1200000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Yaba,2,2,3,2
Newly Built Standard 2 Bedrooms Flat,Lekki,2500000,2 Bedrooms4 Bathrooms4 Toilets2 Parking Spaces Save, Lekki,2,4,4,2
Luxurious Newly Built 2 Bedroom Flat,Ajah,1500000,2 Bedrooms2 Bathrooms3 Toilets7 Parking Spaces Save, Sangotedo,2,2,3,7
Newly Built Mini Flat,Yaba,650000,1 Bedroom1 Bathroom2 Toilets2 Parking Spaces Save, Yaba,1,1,2,2
Luxurious 2 Bedrooms Flat. Upstairs,Lekki,1200000,2 Bedrooms2 Bathrooms3 Toilets7 Parking Spaces Save, Lekki,2,2,3,7
A Very Clean And Standard 2 Bedroom Flat,Ajah,1000000,2 Bedrooms2 Bathrooms3 Toilets5 Parking Spaces Save, Lagos,2,2,3,5
Luxury Serviced 3 Bedroom Apartment,Lekki,3500000,3 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save, Ikate Elegushi,3,3,3,2
Brand New 3 Bedrooms Flat With Excellent Finishing,Ajah,900000,3 Bedrooms3 Bathrooms4 Toilets Save, Opposite Lagos Business School (lbs),3,3,4,
Tastefully Finished 3 Bedroom Maisonette With 1 Room Bq,Ikoyi,7000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Old Ikoyi,3,3,4,2
Tastefully Finished 2 Bedroom Flat With 1 Room Boys Quarters,Ikoyi,12000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Ikoyi,2,2,3,2
Tastefully Finished 3 Bedrooms Flat With 1 Room Boys Quarter,Ikoyi,9000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Old Ikoyi,3,3,4,2
Newly Renovated Block Of 4(no) 3 Bedroom Flat.,Apapa,2000000,3 Bedrooms2 Bathrooms2 Toilets Save, GRA,3,2,2,
A Lovely And Nice Well Finished 3 Bedroom Flat Inside An Estate,Yaba,2500000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Yaba,3,3,4,2
Brand New 3 Bedroom Flat,Ajah,1200000,3 Bedrooms3 Bathrooms4 Toilets5 Parking Spaces Save, Ajah,3,3,4,5
"Brand New 2 Bedroom Flat, All Rooms Ensuite",Ajah,1000000,2 Bedrooms2 Bathrooms3 Toilets3 Parking Spaces Save, Olokonla,2,2,3,3
Luxury And Serviced 3 Bedrooms Flat,Ikoyi,7000000,3 Bedrooms2 Bathrooms2 Toilets1 Parking Space Save, Old Ikoyi,3,2,2,1
Newly Built 2 Bedroom Apartment,Victoria Island (VI),6500000,2 Bedrooms2 Bathrooms3 Toilets Save, Victoria Island (VI),2,2,3,
Newly Built 3 Bedroom Apartment,Victoria Island (VI),7500000,3 Bedrooms2 Bathrooms3 Toilets Save, Victoria Island (VI),3,2,3,
Executive And Newly Finished 3 Bedroom Flat With A Maid Room,Victoria Island (VI),4000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Oniru,3,3,4,2
A Room Self Contained.,Lekki,750000,1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save, Lekki Expressway,1,1,1,4
A Room Self Contain,Lekki,650000,1 Bedroom1 Toilet1 Parking Space600 sqm Total Area Save, Lekki,1,1,1,1
A Room Self Contained.,Lekki,850000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Lekki Expressway,1,1,1,1
A Room Self Contained,Lekki,350000,1 Bathroom1 Toilet3 Parking Spaces600 sqm Total Area Save, Lekki,1,1,1,3
A Room Self Contained,Lekki,550000,1 Bedroom1 Bathroom1 Toilet2 Parking Spaces Save, Opposite Chevron,1,1,1,2
A Room In A Shared Apartment,Ajah,400000,1 Bathroom1 Toilet1 Parking Space Save, Ajah,1,1,1,1
Tastefully Finished 2 Bedroom,Ajah,1200000,2 Bedrooms2 Bathrooms3 Toilets Save, Ajah,2,2,3,
A Room Self Contained,Lekki,350000,1 Bathroom1 Toilet1 Parking Space500 sqm Total Area Save, Osapa,1,1,1,1
3 Bedrooms Flat,Lekki,1800000,3 Bedrooms Save, Opposite Vgc,3, ,,
One Bedroom Apartments,Lekki,2000000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Lekki,1,1,1,1
A Room Self Contained,Lekki,750000,1 Bathroom1 Parking Space500 sqm Total Area500 sqm Covered Area Save, Lekki,1,1,,1
Lovely 3 Bedroom Flat,Shomolu,1200000,3 Bedrooms3 Bathrooms4 Toilets Save, Shomolu,3,3,4,
A Very Standard 2 Bedroom Flat,Ajah,900000,2 Bedrooms2 Bathrooms3 Toilets5 Parking Spaces Save, Addo,2,2,3,5
3 Bedroom Apartment With Bq,Victoria Island (VI),10000000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Victoria Island (VI),3,3,4,3
Mini Flat,IbejuLekki,400000,1 Bedroom2 Toilets Save, Lagos,1,2,  ,
Fully Serviced Furnished 2 Bedroom Flat,Lekki,2800000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Lagos,2,2,3,2
Newly Built Serviced 3 Bedroom Apartment And A Room Bq,Victoria Island (VI),9000000,3 Bedrooms3 Bathrooms4 Toilets Save, Victoria Island (VI),3,3,4,
Newly Built 2 Bedroom Flat,Ikorodu,550000,2 Bedrooms3 Toilets Save, Ikorodu,2,3,  ,
Luxury Block Of Three Bedroom Flats,Ikoyi,17000000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Ikoyi,3,3,4,3
Well Finished 3 Bedroom Flat,Lekki,2500000,3 Bedrooms3 Bathrooms4 Toilets Save, Lekki,3,3,4,
Top Notch 3 Bedroom Apartment,Ikoyi,8000000,3 Bedrooms4 Bathrooms4 Toilets3 Parking Spaces Save, Ikoyi,3,4,4,3
A Brand Newly Built 2 Bedroom Flat,Gbagada,1000000,2 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save, Palmgroove,2,2,3,1
Elegant 3 Bedroom Flat,Victoria Island (VI),5000000,3 Bedrooms3 Bathrooms43 Toilets2 Parking Spaces Save, Victoria Island (VI),3,3,3,2
A Lovely&nice Very Spacious 3 Bedroom Flat,Shomolu,1000000,3 Bedrooms3 Bathrooms4 Toilets1 Parking Space Save,apata Off Morocco Road.,3,3,4,1
3 Bedroom Flat/apartment,Lekki,3000000,3 Bedrooms2 Bathrooms3 Toilets Save, Lekki,3,2,3,
3 Bedroom Apartment,Lekki,2500000,3 Bedrooms3 Bathrooms4 Toilets Save, Lekki,3,3,4,
Luxury Clean 2 Bedroom Flat,Lekki,2000000,2 Bedrooms2 Bathrooms3 Toilets8 Parking Spaces Save, Lekki Phase 2,2,2,3,8
Brand New 2 Bedroom Flat,Ajah,1000000,2 Bedrooms3 Bathrooms3 Toilets8 Parking Spaces Save, Sangotedo,2,3,3,8
Brand New Luxury 2 Bedroom Flat With Massive Sitting Room And Kitchen,Ajah,1400000,2 Bedrooms2 Bathrooms3 Toilets10 Parking Spaces Save, By Abraham Adesanya Road,2,2,3,10
Brand New 2 Bedrooms Flat,Ajah,900000,2 Bedrooms2 Bathrooms3 Toilets5 Parking Spaces Save, Owode Addo Langbasa,2,2,3,5
Nice 2 Bedroom Flat With Car Park ( Upstairs),Yaba,1000000,2 Bedrooms2 Bathrooms2 Toilets Save, Lagos,2,2,2,
Luxury New 3 Bedroom Apartment With Bq,Victoria Island (VI),8000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lagos,3,3,4,2
Luxury 3 Bedroom Apartment,Ikoyi,9000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Luxury 2 Bedroom Pent House,Ikoyi,18000000,2 Bedrooms4 Bathrooms3 Toilets Save, Ikoyi,2,4,3,
Upscale 4 Bedroom Apartment,Ikoyi,20000000,4 Bedrooms4 Bathrooms5 Toilets Save, Ikoyi,4,4,5,
Spacious 3 Bedroom Apartment,Victoria Island (VI),8000000,3 Bedrooms3 Bathrooms4 Toilets Save, Lagos,3,3,4,
Luxury 3 Bedroom Apartment,Ikoyi,5000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Premium 3 Bedroom Apartment,Ikoyi,7000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
