property_type,location,price,features,neighourhood,bedroom,bathroom,toilet,parking_lot
2 Bedroom Penthouses With An Open Roof Terrace,Ikoyi,15000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Ikoyi,2,2,3,2
Luxury 4 Bedroom Apartments With Excellent Facilities,Ikoyi,60000,4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save, Ikoyi,4,4,5,4
Tastefully Finished 3 Bedroom Luxury Apartments With Maids Room,Ikoyi,10000000,4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save, Ikoyi,4,4,5,4
3 Units Of 3 Bedroom Waterfront Apartments With An Open Floor Plan,Ikoyi,30000000,3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save, Ikoyi,3,3,4,4
4 Bedroom Waterfront Apartment With An Open Floor Plan,Ikoyi,21000000,4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save, Ikoyi,4,4,5,2
Tastefully Finished 3 Bedroom Flats With A Large Living Room,Ikoyi,7000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
Luxury 3 Bedroom Apartments With Ample Parking Space,Ikoyi,14000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
Lovely 3 Bedroom Apartment With Good Amenities,Victoria Island (VI),6800000,3 Bedrooms4 Bathrooms4 Toilets Save, Victoria Island (VI),3,4,4,
Luxury And Fitted 3 Bedroom Apartment With Boys Quarter,Lekki,3000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lekki,3,3,4,2
3 Bedroom Apartment With Maid Room,Ikoyi,11000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
Strikingly Attractive 4 Bedroom Luxury Apartment,Ikoyi,20000000,4 Bedrooms4 Bathrooms4 Toilets3 Parking Spaces Save, Ikoyi,4,4,4,3
Well Maintained 3 Bedroom Flat With Bq Office Space In A Serene Enviro,Lekki,4000000,3 Bedrooms3 Bathrooms4 Toilets12 Parking Spaces Save, Lekki Phase 1,3,3,4,12
Grandiose 2 Bedroom Pent-floor Apartment With Excellent Facilities.,Ikoyi,18000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Banana Island,2,2,3,2
Grandiose 2 Bedroom Apartment With Excellent Facilities,Ikoyi,10000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Banana Island,2,2,3,2
Grandiose 3 Bedroom Apartment With State-of-the-art Facilities,Ikoyi,15000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Banana Island,3,3,4,2
Serviced Luxury 3bedroom Flat With A Bq,Ikoyi,7500000,3 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save, Osborne,3,3,3,2
Spacious And Luxury 3 Bedroom Flats,Ajah,1000000,3 Bedrooms3 Bathrooms4 Toilets12 Parking Spaces Save, Ajah,3,3,4,12
New 3 Bedroom Flat Up,Maryland,2000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Anthony,3,3,4,2
3 Bedroom Luxury Waterfront Apartments,Ikoyi,30000000,3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save, Ikoyi,3,3,4,4
Premium 3 Bedroom Apartment,Ikoyi,10000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Upscale 2 Bedroom Apartment,Ikoyi,8000000,2 Bedrooms2 Bathrooms3 Toilets Save, Ikoyi,2,2,3,
Premium 2 Bedroom Apartment,Ikoyi,7000000,2 Bedrooms2 Bathrooms3 Toilets Save, Ikoyi,2,2,3,
A 3 Bedroom Block Of Serviced Flats Each,Ikoyi,10000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Fully Furnished 3 Bedroom Apartment With Excellent Facilities,Victoria Island (VI),17000000,3 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save, Victoria Island (VI),3,3,3,2
Nice And Standard Newly Built Self Contained,Lekki,1000000,  Save, Lekki,,,,
Nice And Standard Newly Built Self Contained,Lekki,850000,  Save, Lekki,,,,
Luxury 3 Bedroom Flats With Excellent Facilities,Victoria Island (VI),25000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lagos,3,3,4,2
Luxury 4 Bedroom Apartments With Breathtaking Views From All The Rooms,Victoria Island (VI),28000000,4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save, Lagos,4,4,5,4
Luxury 3 Bedrooms Apartment With Breathtaking Views From All The Rooms,Victoria Island (VI),25000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lagos,3,3,4,2
Luxury 2 Bedroom Apartments With Breathtaking Views From All The Rooms,Victoria Island (VI),22000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Lagos,2,2,3,2
24 Units Of 3 Bedrooms Flat And Maisonettes With Excellent Facilities,Ikoyi,10000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
Tastefully Finished 3 Bedroom Luxury Apartments With 2 Maids Room,Ikoyi,15000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
Tastefully Finished 3 Bedroom Luxury Apartments With Maids Room,Ikoyi,11000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
3 Bedrooms Apartments,Ikoyi,16000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
2 Bedroom Luxury Apartments With Maid's Room Facing Lagoon View,Victoria Island (VI),47000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Lagos,2,2,3,2
4 Bedrooms Luxury Apartment,Ikoyi,16000000,4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save, Ikoyi,4,4,5,4
Tastefully Finished 3 Bedroom Flats With A Large Living Room,Ikoyi,7000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
A Room And Parlor,Lekki,1200000,1 Bathroom1 Toilet1 Parking Space600 sqm Total Area Save, Agungi,1,1,1,1
Standard And Spacious 3 Bedroom Flats,Ajah,700000,3 Bedrooms3 Bathrooms3 Toilets12 Parking Spaces Save, Ajah,3,3,3,12
Alison By Two Doors (affordable 2 Bedroom With Swimming Pool),Victoria Island (VI),4500000,2 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save, Victoria Island (VI),2,2,3,1
Luxury 1 Bedroom Apartment With Excellent Facilities,Ajah,700000,1 Bedroom1 Bathroom2 Toilets6 Parking Spaces Save, Olokonla,1,1,2,6
Luxury 1 Bedroom Apartment With Excellent Facilities,Ajah,800000,1 Bedroom1 Bathroom2 Toilets6 Parking Spaces Save, Olokonla,1,1,2,6
A Room Self Contain,Lekki,700000,1 Bathroom1 Toilet4 Parking Spaces600 sqm Total Area Save, Lekki Expressway,1,1,1,4
A Spacious Luxurious 3 Bedroom Flat,Ketu,1100000,3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save, Alapere,3,3,4,4
Luxury & Spacious Three Bedroom Pent Flat With 2 Bq In An Estate.,Lekki,3000000,3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save, Lekki,3,3,4,4
Luxury And Fully Serviced And Furnished One Bedroom Apartment,Victoria Island (VI),2300000,1 Bedroom Save, Victoria Island (VI),1,,,
A Room Self Contained.,Lekki,600000,1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save, Lekki Expressway,1,1,1,4
Luxury 3 Bedroom Serviced Flat.,Ikoyi,6000000,3 Bedrooms3 Bathrooms1 Toilet2 Parking Spaces Save, Ikoyi,3,3,1,2
3 Bedrooms Flat,Lekki,1900000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lekki,3,3,4,2
Water Front 4 Bedroom Luxury Apartments With Excellent Facilities,Ikoyi,25000000,4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save, Ikoyi,4,4,5,4
2 Bedroom Luxury Apartments With Excellent Facilities,Ikoyi,12000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Ikoyi,2,2,3,2
3 Bedroom Luxury Apartments With Maid's Room,Ikoyi,15000000,3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save, Ikoyi,3,3,4,4
A Lovely Luxury Bigger Room Self Contained.,Yaba,600000,1 Bathroom1 Toilet1 Parking Space Save, Yaba,1,1,1,1
Exquisitely Finished 4 Bedrooms Flat With A Room Bq,Ikoyi,12000000,4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save, Old Ikoyi,4,4,5,4
2 Bedroom Flat Tastefully Finished,Ikorodu,250000,2 Bedrooms3 Bathrooms3 Toilets10 Parking Spaces Save, Off Ijede Road,2,3,3,10
Brand New Luxury 3 Bedroom Apartment With Excellent Amenities,Victoria Island (VI),19965000,3 Bedrooms4 Bathrooms4 Toilets3 Parking Spaces Save, Victoria Island (VI),3,4,4,3
3 Bedroom Apartment With Excellent Facilities And Lawn Tennis Court,Ikoyi,12500000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Old Ikoyi,3,3,4,2
Grandiose 4 Bedroom Pent-floor Maisonette With Excellent Facilities,Ikoyi,32000000,4 Bedrooms4 Bathrooms6 Toilets4 Parking Spaces Save, Old Ikoyi,4,4,6,4
"Furnished, Fully Serviced Luxury 3 Bedroom Apartment",Victoria Island (VI),15000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Victoria Island (VI),3,3,4,2
"Upscale, Ample 3 Bedroom Luxury Apartment With Great Facilities",Ikoyi,13000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Old Ikoyi,3,3,4,2
Fully Serviced 3 Bedroom Apartment With A Bq And Swimming Pool,Lekki,3000000,3 Bedrooms3 Bathrooms4 Toilets Save, Lekki Phase 1,3,3,4,
An Executive And Spacious 3 Bedroom Flat With Modern Facilities,Yaba,2000000,3 Bedrooms3 Bathrooms3 Toilets6 Parking Spaces Save, Sabo,3,3,3,6
Beautifully Furnished 3 Bedrooms Flat,Victoria Island (VI),5500000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Victoria Island (VI),3,3,4,2
Luxury 3 Bedroom Apartment,Ikoyi,9000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Furnished 3 Bedroom Pent-floor Maisonette With Massive Balconies,Ikoyi,12000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Old Ikoyi,3,3,4,2
"Ample, 3 Bedroom Luxury Apartment With Excellent Facilities",Ikoyi,8000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Old Ikoyi,3,3,4,2
Ample 3 Bedroom Apartment With Excellent Facilities,Ikoyi,7500000,3 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Old Ikoyi,3,2,3,2
A Newly Renovated 8 Units Of 2 Bedrooms Flat With Gym House,Victoria Island (VI),4000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Victoria Island (VI),2,2,3,2
Premium 2 Bedroom Apartment,Ikoyi,10000000,2 Bedrooms2 Bathrooms3 Toilets Save, Ikoyi,2,2,3,
Luxury 3 Bedroom Flat,Ikoyi,6500000,3 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save, Old Ikoyi,3,2,2,2
4 Units Of 3 Bedroom Flats,Lekki,16000000,3 Bedrooms3 Bathrooms4 Toilets950 sqm Total Area Save, Lekki Phase 1,3,3,4,
3 Bedroom Flat,Victoria Island (VI),5000000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Victoria Island (VI),3,3,4,3
Luxury 3 Bedroom Apartment,Ikoyi,5000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
3 Bedroom Flat,Victoria Island (VI),3500000,3 Bedrooms3 Bathrooms4 Toilets Save, Victoria Island (VI),3,3,4,
Upscale Penthouse Suite,Victoria Island (VI),4500000,2 Bedrooms2 Bathrooms3 Toilets Save, Victoria Island (VI),2,2,3,
"4 Bedroom Luxury Apartments, Maisonette, And Terraces",Ikoyi,9000000,4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save, Ikoyi,4,4,5,3
Luxury 4 Bedrooms Pent House,Ikoyi,15000000,4 Bedrooms4 Bathrooms5 Toilets Save, Ikoyi,4,4,5,
Brand New 6 Units Of 3 Bedroom Flat.,Victoria Island (VI),5500000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Victoria Island (VI),3,3,4,2
Upscale 2 Bedroom Apartment,Ikoyi,13000000,2 Bedrooms2 Bathrooms3 Toilets Save, Ikoyi,2,2,3,
Premium 2 Bedroom Apartment,Victoria Island (VI),3000000,2 Bedrooms2 Bathrooms3 Toilets Save, Victoria Island (VI),2,2,3,
Beautiful 3 Bedroom Flat With Bq,Victoria Island (VI),3000000,3 Bedrooms3 Bathrooms4 Toilets Save, Lagos,3,3,4,
Newly Built And Luxuriously Finished Three (3) Bedroom Flat With Bq,Ikoyi,13000000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Ikoyi,3,3,4,3
Exquisitely Finished 2 Bedroom Apartment,Ajah,1000000,2 Bedrooms2 Bathrooms3 Toilets3 Parking Spaces Save, Ajah,2,2,3,3
Spacious 3 Bedroom Apartment,Lekki,3000000,3 Bedrooms3 Bathrooms4 Toilets Save, Lekki,3,3,4,
Luxury 3 Bedroom Apartment With Excellent Facilities,Victoria Island (VI),9000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Victoria Island (VI),3,3,4,2
Upscale 4 Bedroom Waterside Apartment,Ikoyi,100000,4 Bedrooms4 Bathrooms5 Toilets Save, Lagos,4,4,5,
Luxury 3 Bedroom Apartment,Ikoyi,100000,3 Bedrooms3 Bathrooms4 Toilets Save, Lagos,3,3,4,
Luxury 3 Bedroom Flat,Victoria Island (VI),3500000,3 Bedrooms4 Toilets Save, Victoria Island (VI),3,4,  ,
Lovely Newly Built 2 Bedroom Flat,Lekki,2000000,2 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save, Lekki,2,2,3,1
A Well Finished 2 Exquisitely Furnished 2 Bedroom Flat.,Gbagada,2000000,2 Bedrooms3 Bathrooms3 Toilets Save, Pedro,2,3,3,
Executive 4 Bedroom Service Apartment With B/q,Ikoyi,15000000,4 Bedrooms4 Bathrooms5 Toilets20 Parking Spaces Save, Old Ikoyi,4,4,5,20
Luxury 1 Bedroom Apartment,Ikoyi,6000000,1 Bedroom1 Bathroom2 Toilets Save, Ikoyi,1,1,2,
Luxury 3 Bedroom Apartment,Victoria Island (VI),15000000,3 Bedrooms3 Bathrooms4 Toilets Save, Lagos,3,3,4,
Luxury 3 Bedroom Flat,Victoria Island (VI),6000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Victoria Island Extension,3,3,4,2
Luxury 4 Bedroom Pent-floor Apartment With State-of-the-art Facilities,Ikoyi,19000000,4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save, Banana Island,4,4,5,3
Exceptionally Designed 3 Bedroom Apartment,Ikoyi,15000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Exquisitely Furnished 4 Bedroom Pent-floor Maisonette,Victoria Island (VI),200000,4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save, Victoria Island (VI),4,4,5,3
"Upscale, Luxury 3 Bedroom Apartment With Excellent Facilities",Ikoyi,13000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Old Ikoyi,3,3,4,2
Upscale 4 Bedroom Pent-floor Maisonette With Excellent Facilities,Ikoyi,23000000,4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save, Old Ikoyi,4,4,5,3
"Upscale, Luxury 4 Bedroom Apartment With Excellent Facilities",Ikoyi,90000,4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save, Banana Island,4,4,5,3
Nicely Finished One (1) Bedroom Terrace House (maisonette),Ajah,900000,1 Bedroom1 Bathroom2 Toilets1 Parking Space Save, Beside Lbs,1,1,2,1
Premium 1 Bedroom Furnished Apartment,Victoria Island (VI),30000,1 Bedroom1 Bathroom2 Toilets Save, Lagos,1,1,2,
Premium 3 Bedroom Apartment,Ikoyi,15000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
"3 Bedroom Flat, Up",Ikeja,1400000,3 Bedrooms2 Bathrooms2 Toilets1 Parking Space Save, Allen,3,2,2,1
1 Bedroom Flat (furnished),Victoria Island (VI),3300000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Victoria Island (VI),1,1,1,1
3 Bedroom Flat With Maid's Room,Ajah,1400000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Sangotedo,3,3,4,2
Luxury And Serviced 3 Bedroom Apartment With Necessary Facilities,Lekki,4000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lekki Phase 1,3,3,4,2
Luxury 2 Bedroom Apartment With Excellent Facilities,Victoria Island (VI),4000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Victoria Island Extension,2,2,3,2
Furnished 2 Bedroom Luxury Apartment With Excellent Facilities,Ikoyi,8000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Old Ikoyi,2,2,3,2
Luxury 2 Bedroom Pent-floor Apartment With State-of-the-art Facilities,Ikoyi,14000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Old Ikoyi,2,2,3,2
3 Bedroom Flat,KM 46,600000,3 Bedrooms3 Toilets Save, Lagos-ibadan Expressway,3,3,  ,
3 Bedroom Luxury Apartments With Maids Room,Ikoyi,15000000,3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save, Ikoyi,3,3,4,4
One Bedroom Flat,Ikeja,300000,1 Bedroom1 Bathroom1 Toilet2 Parking Spaces Save, Ogba,1,1,1,2
"Brand New, Fully Serviced And Nicely Finished Three (3) Bedroom Apartments",Ikoyi,8000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
Well Built 3 Bedroom Apartment,Ikoyi,8000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Premium 3 Bedroom Apartment,Ikoyi,6000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Luxurious And Spacious 3 Bedroom Apartment,Ikoyi,15000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Luxury 3 Bedroom Flat With Necessary Facilities,Ikoyi,7500000,3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save, Lagos,3,3,4,4
One Room Self-contained Hostel For Females,Yaba,350000,  Save, Onike,,,,
Luxury And Serviced One Bedroom Apartment,Lekki,2000000,1 Bedroom1 Bathroom2 Toilets Save, Ikate Elegushi,1,1,2,
Finely Finished 3 Bedroom Premium Apartment,Ikoyi,15000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
3 Bedroom Flat,Ikoyi,20000000,3 Bedrooms3 Bathrooms4 Toilets Save, Lagos,3,3,4,
New 3 Bedroom Flat With Modern Facilities,Gbagada,1200000,3 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Gbagada,3,2,3,2
"Magnificent Standard 3 Bedroom Flat In Gated Estate, Well Secure",Lekki,1200000,3 Bedrooms3 Bathrooms4 Toilets8 Parking Spaces Save, Lekki,3,3,4,8
Excellent Specious Sweet 2 Bedroom Flat In Good Estate.,Lekki,1000000,2 Bedrooms2 Bathrooms3 Toilets8 Parking Spaces Save, Lekki Phase 2,2,2,3,8
Furnished 3 Bedroom Serviced Apartment With Necessary Facilities,Lekki,3000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lekki Phase 1,3,3,4,2
Lovely 4 Units Of 3 Bedroom Flat,Lekki,5000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lekki,3,3,4,2
Miniflat Upstairs,Lekki,1000000,1 Bedroom2 Toilets Save, Lekki,1,2,  ,
Brand New Luxury 3bedroom,Lekki,2500000,3 Bedrooms3 Bathrooms4 Toilets5 Parking Spaces Save, Ologolo,3,3,4,5
Executive 3 Bedroom Apartment With Excellent Finishing,Shomolu,900000,3 Bedrooms2 Bathrooms2 Toilets Save, Shomolu,3,2,2,
Specious 3bedroom Flat,Lekki,2000000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Ologolo,3,3,4,3
3 Bedroom Apartments,Ikoyi,8000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
Standard Mini Flat,Idimu,300000,1 Bedroom2 Bathrooms2 Toilets8 Parking Spaces Save, Idimu,1,2,2,8
Luxury 2 Bedrooms Apartment With Excellent Finishing,Ketu,700000,2 Bedrooms2 Bathrooms3 Toilets Save, Ketu,2,2,3,
Nice And Lovely 3 Nos Of Mini Flat (1 Bedroom Apartment),Surulere,600000,1 Bedroom2 Bathrooms2 Toilets3 Parking Spaces Save, Surulere,1,2,2,3
Extraordinary Ensuite Modern 1 Bedroom Flat,Yaba,650000,1 Bedroom2 Bathrooms2 Toilets8 Parking Spaces Save, Abule Ijesha,1,2,2,8
2 Bedrooms Furnished Apartment,Ikoyi,10000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Lagos,2,2,3,2
1 Bedroom Flat,Garki,600000,1 Bedroom1 Bathroom1 Toilet Save, Off Lagos Street,1,1,1,
Super Tastefully Finished Serviced Minifla,Ajah,700000,1 Bedroom2 Bathrooms2 Toilets1 Parking Space Save, Ajah,1,2,2,1
Super Tastefully Serviced Brand New 2 Bedroom Flat,Ajah,1200000,2 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save, Ajah,2,3,3,2
A Brand Newly Built Ensuites Self Compound 2 Bedroom Flat,Gbagada,850000,2 Bedrooms2 Bathrooms3 Toilets3 Parking Spaces Save, Lagos,2,2,3,3
Luxry 2 Bedroom Apartment,Ajah,950000,2 Bedrooms2 Bathrooms3 Toilets8 Parking Spaces Save, Ajah,2,2,3,8
Brand Newly Built 2 Bedroom Flat,Victoria Island (VI),2500000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Victoria Island (VI),2,2,3,2
A Room From A 3 Bedroom Shared Apartment With A Wardrobe,Ajah,250000,1 Bathroom1 Toilet3 Parking Spaces Save, Badore,1,1,1,3
An Executive Brand Newly Built Ensuites 3 Bedroom Flat,Ogudu,1500000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ogudu,3,3,4,2
A Fairly Used & Spacious 3 Bedroom Flat,Shomolu,700000,3 Bedrooms2 Bathrooms2 Toilets1 Parking Space Save, Shomolu,3,2,2,1
Luxury 1 Bedroom Self Contained With Excellent Facilities,IbejuLekki,130000,1 Bathroom1 Toilet6 Parking Spaces450 sqm Total Area Save, Ibeju Lekki,1,1,1,6
Luxury One Bedroom Miniflat,Victoria Island (VI),2000000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Oniru,1,1,1,1
Miniflat,Lekki,500000,1 Bedroom1 Bathroom1 Toilet Save, Lekki,1,1,1,
Luxury 2 Bedroom Flat,Isheri North,1000000,2 Bedrooms2 Bathrooms3 Toilets Save, Isheri North,2,2,3,
Brand New 2 Bedrooms Flat,Ajah,1200000,2 Bedrooms2 Bathrooms3 Toilets9 Parking Spaces Save, Olokonla,2,2,3,9
Nice And Standard Brand New Self Contained,Lekki,800000,  Save, Lekki,,,,
"3 Bedrooms Flat, All Rooms Ensuite With Guest Toilet",Ikeja,2300000,3 Bedrooms4 Bathrooms4 Toilets10 Parking Spaces Save, Ikeja,3,4,4,10
Executive 3 Bedrooms Apartment,Ketu,600000,3 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save, Alapere,3,2,2,2
2 Bedrooms Flat,Victoria Island (VI),2000000,2 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save, Oniru,2,2,3,1
Luxury 1 Bedroom Apartment With Excellent Finishing,Ketu,600000,1 Bedroom1 Bathroom2 Toilets Save, Ketu,1,1,2,
Newly Built Mini Flat,Ajah,500000,1 Bedroom1 Bathroom2 Toilets5 Parking Spaces Save, Ajah,1,1,2,5
2 Bedroom Apartment,Ikoyi,8000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Ikoyi,2,2,3,2
Stardard Spacious Three Bedroom Flat Pop Ceiling 9ice Kitchen,Ipaja,900000,3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save, Ipaja,3,3,4,4
Neat Roomself Contained All Tiles Floor,Ipaja,150000,1 Bathroom1 Toilet Save, Ipaja,1,1,1,
Executive Serviced 1 Bedroom Apartment,Victoria Island (VI),2500000,1 Bedroom1 Bathroom2 Toilets Save, Lagos,1,1,2,
A Lovely And Nice Well Finished Mini Flat,Surulere,500000,1 Bedroom1 Bathroom2 Toilets1 Parking Space Save, Ijesha,1,1,2,1
Fully Furnished And Serviced 2 Bedroom Apartment,Ikeja,3000000,2 Bedrooms2 Bathrooms2 Toilets Save, Adeniyi Jones,2,2,2,
Nice Room Self Contained With Wardroom And Store,Ikeja,450000,1 Bathroom1 Toilet Save, Ikeja,1,1,1,
Spacious 2 Bedroom Office Space,Shomolu,850000,2 Bedrooms2 Bathrooms2 Toilets1 Parking Space Save, Palmgrove,2,2,2,1
Spacious Mini Flat With Double Room Conveniences And Generator,Lekki,1600000,1 Bedroom1 Bathroom1 Toilet2 Parking Spaces Save, Right Hand Side,1,1,1,2
Newly Built 1 Bedroom Mini Flat,Yaba,600000,1 Bedroom1 Bathroom2 Toilets1 Parking Space Save, Ebute Metta East,1,1,2,1
Decent And Neat Mini Flat In An Estate,Ipaja,220000,1 Bedroom1 Bathroom1 Toilet2 Parking Spaces Save, Ipaja,1,1,1,2
A Mini Flat,Lekki,1100000,1 Bedroom1 Bathroom1 Toilet2 Parking Spaces Save, Lekki,1,1,1,2
3 Bedroom Apartment,Lekki,2200000,3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save, Lekki,3,3,4,4
Newly Built 3 Bedroom Flat,Ikorodu,400000,3 Bedrooms4 Bathrooms4 Toilets3 Parking Spaces Save, Igbogbo,3,4,4,3
Luxury 3 Bedroom Apartment With Bq. Pool. Gym. 24 Hours Power,Lekki,3500000,3 Bedrooms3 Bathrooms4 Toilets5 Parking Spaces Save, Lekki Phase 1,3,3,4,5
Executive 3 Bedrooms Apartment With Top Class Amenities,Ikeja,5000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikeja,3,3,4,2
3 Bedroom Waterfront Luxury Apartments,Victoria Island (VI),56000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Victoria Island (VI),3,3,4,2
3 Bedroom Apartment,Ikoyi,9000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lagos,3,3,4,2
A Luxury And Services Bedrooms Flat With Pool,Ikoyi,5300000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Newly Built 3 Bedroom,Ipaja,650000,3 Bedrooms3 Bathrooms4 Toilets645 sqm Total Area Save, Ipaja,3,3,4,
Newly Built 2 Bedroom Flat,Isolo,550000,2 Bedrooms3 Bathrooms3 Toilets Save, Oke Afa,2,3,3,
Brand New 2 Bedroom Flat,Isolo,800000,2 Bedrooms2 Bathrooms3 Toilets Save, Ago Palace,2,2,3,
